TimeUTC,timestampInMs,requestPath,requestMethod,requestQueryString,responseStatusCode,requestId,requestUserAgent,level,environment,branch,vercelCache,type,function,host,deploymentDomain,deploymentId,durationMs,region,maxMemoryUsed,memorySize,message,projectId,traceId,sessionId,invocationId,instanceId,concurrency,workflowRunId,workflowStepId
2026-05-06 12:43:46,1778071426480,vercel-ideahub.vercel.app/api/admin/users,GET,,200,lwnxm-1778071426216-139a163f81cf,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36",info,production,master,MISS,function,/api/index.py,vercel-ideahub.vercel.app,vercel-ideahub.vercel.app,dpl_FozbvsXtL76JZFrawArbYVLP3XXj,,,,,"127.0.0.1 - - [06/May/2026 12:43:46] ""GET /api/admin/users HTTP/1.1"" 200 -",prj_98nmHobApnM0GRqBrjPZkLez30Hq,,,,,,,
2026-05-06 12:43:46,1778071426216,vercel-ideahub.vercel.app/api/admin/users,GET,,200,lwnxm-1778071426216-139a163f81cf,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36",,production,master,MISS,function,/api/index.py,vercel-ideahub.vercel.app,vercel-ideahub.vercel.app,dpl_FozbvsXtL76JZFrawArbYVLP3XXj,256,iad1,272,2048,,prj_98nmHobApnM0GRqBrjPZkLez30Hq,,,01KQYN1N8JSD869PQ0FVFW4T57,1TPEYOFsly6V,2,,
2026-05-06 12:43:46,1778071426403,vercel-ideahub.vercel.app/api/admin/staff-analytics,GET,,200,sgq4l-1778071426204-f1d33a5ead74,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36",info,production,master,MISS,function,/api/index.py,vercel-ideahub.vercel.app,vercel-ideahub.vercel.app,dpl_FozbvsXtL76JZFrawArbYVLP3XXj,,,,,"127.0.0.1 - - [06/May/2026 12:43:46] ""GET /api/admin/staff-analytics HTTP/1.1"" 200 -",prj_98nmHobApnM0GRqBrjPZkLez30Hq,,,,,,,
2026-05-06 12:43:46,1778071426204,vercel-ideahub.vercel.app/api/admin/staff-analytics,GET,,200,sgq4l-1778071426204-f1d33a5ead74,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36",,production,master,MISS,function,/api/index.py,vercel-ideahub.vercel.app,vercel-ideahub.vercel.app,dpl_FozbvsXtL76JZFrawArbYVLP3XXj,192,iad1,265,2048,,prj_98nmHobApnM0GRqBrjPZkLez30Hq,,,01KQYN1N8NV0EHTWCWPHSR3CCV,lPnzdWz5wAlq,1,,
2026-05-06 12:43:46,1778071426470,vercel-ideahub.vercel.app/api/orders/pending-count,GET,,200,wntcg-1778071426203-82e524ef6bee,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36",info,production,master,MISS,function,/api/index.py,vercel-ideahub.vercel.app,vercel-ideahub.vercel.app,dpl_FozbvsXtL76JZFrawArbYVLP3XXj,,,,,"127.0.0.1 - - [06/May/2026 12:43:46] ""GET /api/orders/pending-count HTTP/1.1"" 200 -",prj_98nmHobApnM0GRqBrjPZkLez30Hq,,,,,,,
2026-05-06 12:43:46,1778071426203,vercel-ideahub.vercel.app/api/orders/pending-count,GET,,200,wntcg-1778071426203-82e524ef6bee,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36",,production,master,MISS,function,/api/index.py,vercel-ideahub.vercel.app,vercel-ideahub.vercel.app,dpl_FozbvsXtL76JZFrawArbYVLP3XXj,260,iad1,272,2048,,prj_98nmHobApnM0GRqBrjPZkLez30Hq,,,01KQYN1N8JSD869PQ0FVFW4T57,1TPEYOFsly6V,2,,
2026-05-06 12:43:46,1778071426409,vercel-ideahub.vercel.app/api/lounge-bookings/overdue-alerts,GET,,200,9gzsw-1778071426203-5d2f05732bd4,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36",info,production,master,MISS,function,/api/index.py,vercel-ideahub.vercel.app,vercel-ideahub.vercel.app,dpl_FozbvsXtL76JZFrawArbYVLP3XXj,,,,,"127.0.0.1 - - [06/May/2026 12:43:46] ""GET /api/lounge-bookings/overdue-alerts HTTP/1.1"" 200 -",prj_98nmHobApnM0GRqBrjPZkLez30Hq,,,,,,,
2026-05-06 12:43:46,1778071426203,vercel-ideahub.vercel.app/api/lounge-bookings/overdue-alerts,GET,,200,9gzsw-1778071426203-5d2f05732bd4,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36",,production,master,MISS,function,/api/index.py,vercel-ideahub.vercel.app,vercel-ideahub.vercel.app,dpl_FozbvsXtL76JZFrawArbYVLP3XXj,192,iad1,271,2048,,prj_98nmHobApnM0GRqBrjPZkLez30Hq,,,01KQYN1N8Q8R141QYRTHJSRR8H,uyeGEs0x1gCB,1,,
2026-05-06 12:43:45,1778071425633,vercel-ideahub.vercel.app/api/admin/users,GET,,200,299cs-1778071425354-9ae32261f949,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36",info,production,master,MISS,function,/api/index.py,vercel-ideahub.vercel.app,vercel-ideahub.vercel.app,dpl_FozbvsXtL76JZFrawArbYVLP3XXj,,,,,"127.0.0.1 - - [06/May/2026 12:43:45] ""GET /api/admin/users HTTP/1.1"" 200 -",prj_98nmHobApnM0GRqBrjPZkLez30Hq,,,,,,,
2026-05-06 12:43:45,1778071425354,vercel-ideahub.vercel.app/api/admin/users,GET,,200,299cs-1778071425354-9ae32261f949,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36",,production,master,MISS,function,/api/index.py,vercel-ideahub.vercel.app,vercel-ideahub.vercel.app,dpl_FozbvsXtL76JZFrawArbYVLP3XXj,272,iad1,271,2048,,prj_98nmHobApnM0GRqBrjPZkLez30Hq,,,01KQYN1MDW5WHQZ8MQQD6J2494,1TPEYOFsly6V,1,,
